"Trust Code","Trust Name","efficiency_vrs","efficiency_crs","scale_efficiency","total_revenue","total_investment","net_profit_loss"
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",0.127717635889544,0.115437457067321,0.90384899675998,3050861,4276415,-1225554
"RY4","HERTFORDSHIRE COMMUNITY NHS TRUST",0.515104413794837,0.515104413799895,1.00000000000982,0,1225134,-1225134
"RYA","WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST",1,1,1,0,1135004,-1135004
"RY2","BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST",0.545296652215496,0.545235226855321,0.999887354232003,2352,1090451,-1088099
"RWW","WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0996106356859098,0.0908344160508972,0.911894753260228,3089147,3956000,-866853
"RY6","LEEDS COMMUNITY HEALTHCARE NHS TRUST",1,0.247491160258759,0.247491160258759,988468,1799036,-810568
"RY9","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST",0.580197920324366,0.574479588412475,0.990144170270908,0,796280,-796280
"REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST",0.28293380981503,0.272492284349462,0.963095518798568,897077,1678475,-781398
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST",0.149131272383961,0.136460978312118,0.915039321603711,2588840,3334000,-745160
"RGM","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST",1,1,1,0,595873,-595873
"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST",1,1,1,0,484750,-484750
"RY7","WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST",1,1,1,17250,445413,-428163
"RY5","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST",1,1,1,0,343000,-343000
"RYY","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST",0.628496683913232,0.583554621257498,0.9284927608911,1554794,1407526,147268
"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.246514471022256,0.200183859858689,0.812057235538989,4063867,3411759,652108
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",0.187292799351735,0.181812479023601,0.970739289779945,18273155,13010000,5263155
