"Trust Code","Trust Name","efficiency_vrs","efficiency_crs","scale_efficiency","total_revenue","total_investment","net_profit_loss"
"RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST",0.0358374455332701,0.0301793660871583,0.842118226845744,3888331,16469490,-12581159
"RBV","THE CHRISTIE NHS FOUNDATION TRUST",0.0823164292604072,0.0711588646601576,0.864455191989042,2968069,15485644,-12517575
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.0682248909641263,0.0680427386283411,0.997330119063422,57407,12320001,-12262594
"RY8","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST",0.162793811206804,0.161178616408372,0.990078278858029,3341236,15528300,-12187064
"RJN","EAST CHESHIRE NHS TRUST",0.217293318278048,0.210779732523248,0.970023994265368,1243329,13037000,-11793671
"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",0.076338102349788,0.0422465022470062,0.553413052546538,178624,11885796,-11707172
"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST",0.140883546796854,0.140883546798012,1.00000000000822,0,11459000,-11459000
"RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",0.0492148361490844,0.0414159027563877,0.841532879047454,5424151,16736411,-11312260
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",0.136405748068523,0.133796245623026,0.980869556580663,3298697,14546203,-11247506
"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST",1,1,1,0,10952000,-10952000
"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST",0.124094146808434,0.124094146809456,1.00000000000823,0,10388255,-10388255
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",0.0461718239835998,0.0460486663409746,0.997332623405371,76571,10321643,-10245072
"RMC","BOLTON NHS FOUNDATION TRUST",0.192613438734842,0.103195327725837,0.535763903098677,10844941,20959568,-10114627
"RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",0.0966153952740171,0.0697493149715073,0.721927543469514,7739810,17824000,-10084190
"RX4","CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",1,0.378993389674832,0.378993389674832,759062,10762873,-10003811
"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",0.046663024414057,0.0466630244143963,1.00000000000727,0,9750520,-9750520
"RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",0.346427071415837,0.34156781654187,0.985973224164878,3753396,13231000,-9477604
"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST",1,0.0420184952108453,0.0420184952108453,3525000,12798000,-9273000
"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST",0.0522313959055719,0.0520966223914745,0.997419683855645,107752,9319609,-9211857
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST",0.0483356881156047,0.0454908334939655,0.941143806314805,1236073,10414168,-9178095
"RWV","DEVON PARTNERSHIP NHS TRUST",0.0616471993975718,0.061587609678682,0.999033375084804,50630,8579779,-8529149
"RVV","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",0.0388091166519818,0.0300977049588223,0.775531822296328,6692376,15069000,-8376624
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",1,1,1,6887859,15214000,-8326141
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST",0.688859611658299,0.375180668085435,0.544640245611525,560499,8752207,-8191708
"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST",0.529934965984922,0.516308023926764,0.974285633270431,536906,8671000,-8134094
"RXY","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST",0.703236163783659,0.634729442991687,0.902583620809002,2052771,9860000,-7807229
"RYC","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST",0.117260931677245,0.0893988620562596,0.762392561422981,87809,7249573,-7161764
"TAH","SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST",0.109822217821201,0.109776302038505,0.999581908072821,5934,7156000,-7150066
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",0.0835298755131118,0.0776553838379141,0.929671968991795,1520189,8621289,-7101100
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST",0.103135558839549,0.101727045703916,0.986343089119986,285151,7227785,-6942634
"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST",0.0869826711617611,0.0866147042970746,0.995769653199059,88328,6989362,-6901034
"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",0.153067953052135,0.14347580964735,0.93733408454533,1308940,8032813,-6723873
"RCU","SHEFFIELD CHILDRENS NHS FOUNDATION TRUST",0.0803766663702344,0.0789941678951924,0.982799753492216,696452,7382000,-6685548
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",0.186399481260594,0.161691892695468,0.86744819031667,3677547,10283193,-6605646
"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST",1,1,1,150000,6653468,-6503468
"RKE","WHITTINGTON HEALTH NHS TRUST",0.295925122512518,0.287312776473343,0.970896874296941,152100,6470000,-6317900
"RWK","EAST LONDON NHS FOUNDATION TRUST",1,0.0656296799578414,0.0656296799578414,1064068,7318866,-6254798
"RPA","MEDWAY NHS FOUNDATION TRUST",0.0545506765279302,0.0412212090002897,0.755649821852974,6577966,12705278,-6127312
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0.0500780347068329,0.0459069907375486,0.916709112214518,2806976,8923096,-6116120
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST",0.126450038365516,0.0961608082501385,0.760464840446916,6856758,12599442,-5742684
"R1L","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",1,0.179400690081572,0.179400690081572,896774,6605341,-5708567
"RV9","HUMBER TEACHING NHS FOUNDATION TRUST",0.490921705756931,0.486994122057634,0.991999572124762,2712662,8293849,-5581187
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",0.0715952315919257,0.0667220928811654,0.931934870487801,2356343,7504323,-5147980
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST",0.203653366245569,0.20082364356153,0.986105200536552,1790082,6902000,-5111918
"RYX","CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST",0.281619938002437,0.256742616262084,0.9116634925893,1844432,6750083,-4905651
"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST",0.168581639241083,0.158279914723041,0.938891776326187,1275916,6075935,-4800019
"TAD","BRADFORD DISTRICT CARE NHS FOUNDATION TRUST",1,1,1,117000,4796600,-4679600
"RYE","SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST",0.140173325050279,0.13938230449173,0.994356839589377,117827,4704340,-4586513
"RX8","YORKSHIRE AMBULANCE SERVICE NHS TRUST",0.126350631561819,0.12635063156219,1.00000000000294,0,4416000,-4416000
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.0842839127788469,0.0842839127791217,1.00000000000326,0,4391297,-4391297
