"Trust Code","Trust Name","efficiency_vrs","efficiency_vrs_weighted","impact_of_weighting"
"RYV","CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST",0.218829263828369,0.218829263828369,0
"RYD","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST",0.217651083566455,0.217651083566455,0
"RJN","EAST CHESHIRE NHS TRUST",0.217293318278048,0.217293318278048,0
"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST",0.206454881134181,0.206454881134181,0
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.204527461140074,0.204527461140074,0
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST",0.203653366245569,0.203653366245569,0
"RYW","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST",0.202024055245011,0.202024055245011,0
"RMC","BOLTON NHS FOUNDATION TRUST",0.192613438734842,0.192613438734842,0
"RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",0.189758553149677,0.189758553149677,0
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",0.187292799351735,0.187292799351735,0
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",0.186399481260594,0.186399481260594,0
"RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST",0.182862640651627,0.182862640651627,0
"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.174892932142727,0.174892932142727,0
"R1C","SOLENT NHS TRUST",0.172379578869849,0.172379578869849,0
"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST",0.168581639241083,0.168581639241083,0
"RTE","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",0.167853284316611,0.167853284316611,0
"RY8","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST",0.162793811206804,0.162793811206804,0
"REN","CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST",0.161799752417536,0.161799752417536,0
"RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST",0.161166433282404,0.161166433282404,0
"RVJ","NORTH BRISTOL NHS TRUST",0.158458183492984,0.158458183492984,0
"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",0.153067953052135,0.153067953052135,0
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST",0.149131272383961,0.149131272383961,0
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",0.148904995881721,0.148904995881721,0
"TAJ","BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST",0.148029791501971,0.148029791501971,0
"REM","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.145223130830202,0.145223130830202,0
"RXW","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",0.142085596957416,0.142085596957416,0
"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST",0.140883546796854,0.140883546796854,0
"RYE","SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST",0.140173325050279,0.140173325050279,0
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",0.13913416596495,0.13913416596495,0
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",0.136405748068523,0.136405748068523,0
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",0.127717635889544,0.127717635889544,0
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST",0.126450038365516,0.126450038365516,0
"RX8","YORKSHIRE AMBULANCE SERVICE NHS TRUST",0.126350631561819,0.126350631561819,0
"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST",0.124094146808434,0.124094146808434,0
"RX7","NORTH WEST AMBULANCE SERVICE NHS TRUST",0.122475490042624,0.122475490042624,0
"RYC","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST",0.117260931677245,0.117260931677245,0
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.114940344389677,0.114940344389677,0
"TAH","SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST",0.109822217821201,0.109822217821201,0
