"Trust","Efficiency","ProfitLoss","ScaleEfficiency","WeightedScore"
"MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST",0.758464791108164,0.742549433441279,0.0441956353428407,0.610836352655034
"LIVERPOOL WOMEN'S NHS FOUNDATION TRUST",0.280311085722724,0.908766851543526,0.961977517264451,0.60518110177731
"GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST",0.239789629136918,0.964044881155924,0.972899773852988,0.603688233685834
"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",0.256645620262457,0.88514433799547,0.97809503924668,0.589485119379205
"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",0.186795033474191,0.956881197165401,0.995665020485052,0.579594879983726
"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",0.344036578753738,0.689270708823869,0.985548290481398,0.575909160120309
"EAST CHESHIRE NHS TRUST",0.21443050909884,0.913830175198096,0.969115887190642,0.575187484546977
"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",0.164809644455425,0.963687390622092,0.996830166593919,0.570877072733124
"BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.243758540430209,0.946986334015093,0.806363609978493,0.567247892415331
"NORTH BRISTOL NHS TRUST",0.155380180336446,0.964582901661213,0.990090422628313,0.56508304519225
"SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST",0.214789582940982,0.954175136537478,0.848882395843095,0.563423811600353
"WHITTINGTON HEALTH NHS TRUST",0.293349915133828,0.729458363462199,0.970015210656014,0.559515508736777
"SOLENT NHS TRUST",0.169352494275019,0.931490455216911,0.970751200374995,0.558273623777582
"ALDER HEY CHILDRENS NHS FOUNDATION TRUST",0.22208625132239,0.903550359175421,0.864620295469392,0.5550322925077
"THE ROTHERHAM NHS FOUNDATION TRUST",0.200740667905077,0.857481120700446,0.985684265006679,0.554751523164008
"SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST",0.137028443634219,0.955091558628024,0.994185883052195,0.553878866015956
"CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST",0.278992408324114,0.770945573612442,0.908987385323512,0.552577353310492
"SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.171875040328524,0.892789310998292,0.978356900676586,0.549445693599067
"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.399761860092251,0.591598674898891,0.849392587106442,0.547239049937081
"SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",0.149970234718067,0.94749338594815,0.935435654135969,0.546320263970672
"CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST",0.158733971303321,0.908553558818991,0.965909042978394,0.545114861893036
"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.1420967194626,0.908167285581143,0.997531483410474,0.543004842087738
"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.224857464272461,0.785909269310626,0.97353781135027,0.542909075199472
"ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST",0.165540663393393,0.889757574958886,0.93704053535638,0.537105711255638
"BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST",0.199105397575697,0.839074309828221,0.920454854766626,0.53536596268964
"NORTH WEST AMBULANCE SERVICE NHS TRUST",0.119265877449873,0.925018396355347,0.971728347238053,0.531484127079151
"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",0.145792051215391,0.861809916824177,0.998728098777425,0.531184620410433
"ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",1,0,0.154541072778005,0.530908214555601
"YORKSHIRE AMBULANCE SERVICE NHS TRUST",0.12315519259371,0.889280411299028,0.999999999992907,0.528361719685145
"DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST",0.159731665938166,0.828543643316443,0.989777705611374,0.526384467086291
"SURREY AND SUSSEX HEALTHCARE NHS TRUST",0.158098335755316,0.943067280783604,0.816489132551512,0.525267178623042
"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",0.18432026099432,0.793531568668867,0.969852852200341,0.524190171537888
"SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST",0.203552429547328,0.747127652290481,0.989635130866609,0.52384153663413
"SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST",0.106566324923569,0.897560138951978,0.999569242191336,0.522465052585645
"DEVON PARTNERSHIP NHS TRUST",0.0582151027084395,0.970869534459221,0.999004091689764,0.520169230029939
"CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST",0.0836432408862673,0.925663909773021,0.995641497094707,0.518649092793981
"LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST",0.0998552089784611,0.903042561772857,0.985929360297542,0.518026245080596
"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",0.138947709821201,0.827745738242433,0.995983783491553,0.516994333081641
"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",0.124527196843665,0.914149103478787,0.900936153521703,0.516695560169809
"COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST",0.120890454575832,0.838041638717351,0.999999999998362,0.511857718902794
"FRIMLEY HEALTH NHS FOUNDATION TRUST",0.070332887403381,0.936425513893511,0.97594810080522,0.511283718030788
"THE ROYAL MARSDEN NHS FOUNDATION TRUST",0.179873898652045,0.744185031444851,0.99004983682743,0.511202426124964
"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",0.0869879374158649,0.894357147087186,0.992154885691887,0.510232089972466
"SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST",0.0459233254154606,0.952661928201355,0.999999999992191,0.508760241166575
"DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",0.0426831249326615,0.959579386140734,0.997251816647649,0.508665741638081
"NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",0.135985483745552,0.801743199577614,0.999999999997327,0.508515701745526
"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0774180680601477,0.927234891995936,0.956344190339047,0.508148339696664
"SOUTHERN HEALTH NHS FOUNDATION TRUST",0.0487648601995052,0.945933528909996,0.99734151454771,0.507630791682293
"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0963173931504707,0.924513612418501,0.909225651912803,0.507357910683346
"CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST",0.215972072486754,0.66237468704969,0.999999999992073,0.506698442356699
